Tile_ID,AGB_t_per_ha,BGB_t_per_ha,Carbon_t_per_ha,CO2eq_t_per_ha,Credits_after_buffer,canopy_percent
0,18.16,9.48,13.27,48.69,47.72,19
1,13.81,7.41,10.19,37.38,36.63,17
2,18.16,9.48,13.27,48.69,47.72,19
3,18.16,9.48,13.27,48.69,47.72,19
4,15.9,8.41,11.67,42.82,41.96,18
5,15.9,8.41,11.67,42.82,41.96,18
6,18.16,9.48,13.27,48.69,47.72,19
7,15.9,8.41,11.67,42.82,41.96,18
8,18.16,9.48,13.27,48.69,47.72,19
9,15.9,8.41,11.67,42.82,41.96,18
10,18.16,9.48,13.27,48.69,47.72,19
11,15.9,8.41,11.67,42.82,41.96,18
12,18.16,9.48,13.27,48.69,47.72,19
13,15.9,8.41,11.67,42.82,41.96,18
14,15.9,8.41,11.67,42.82,41.96,18
15,15.9,8.41,11.67,42.82,41.96,18
16,18.16,9.48,13.27,48.69,47.72,19
17,15.9,8.41,11.67,42.82,41.96,18
18,18.16,9.48,13.27,48.69,47.72,19
19,13.81,7.41,10.19,37.38,36.63,17
20,15.9,8.41,11.67,42.82,41.96,18
21,18.16,9.48,13.27,48.69,47.72,19
22,13.81,7.41,10.19,37.38,36.63,17
23,20.6,10.63,14.99,55.01,53.91,20
24,13.81,7.41,10.19,37.38,36.63,17
25,15.9,8.41,11.67,42.82,41.96,18
26,18.16,9.48,13.27,48.69,47.72,19
27,13.81,7.41,10.19,37.38,36.63,17
28,18.16,9.48,13.27,48.69,47.72,19
29,23.23,11.84,16.83,61.78,60.54,21
30,13.81,7.41,10.19,37.38,36.63,17
31,20.6,10.63,14.99,55.01,53.91,20
32,13.81,7.41,10.19,37.38,36.63,17
33,18.16,9.48,13.27,48.69,47.72,19
34,23.23,11.84,16.83,61.78,60.54,21
35,13.81,7.41,10.19,37.38,36.63,17
36,20.6,10.63,14.99,55.01,53.91,20
37,13.81,7.41,10.19,37.38,36.63,17
